USPS,GEOID,ANSICODE,NAME,INTPTLAT,INTPTLONG                                                                                                               
TX,48001,1383786,Anderson County,31.841261,-95.661726
TX,48003,1383787,Andrews County,32.312258,-102.640206
TX,48005,1383788,Angelina County,31.251951,-94.611056
TX,48007,1383789,Aransas County,28.104225,-96.977983
TX,48009,1383790,Archer County,33.616305,-98.687267
TX,48011,1383791,Armstrong County,34.964179,-101.356636
TX,48013,1383792,Atascosa County,28.891408,-98.535381
TX,48015,1383793,Austin County,29.891901,-96.27017
TX,48017,1383794,Bailey County,34.067521,-102.830345
TX,48019,1383795,Bandera County,29.756389,-99.248285
TX,48021,1383796,Bastrop County,30.100771,-97.310643
TX,48023,1383797,Baylor County,33.618802,-99.208189
TX,48025,1383798,Bee County,28.416077,-97.742586
TX,48027,1383799,Bell County,31.042312,-97.481404
TX,48029,1383800,Bexar County,29.448671,-98.520147
TX,48031,1383801,Blanco County,30.266456,-98.399217
TX,48033,1383802,Borden County,32.73859,-101.439199
TX,48035,1383803,Bosque County,31.900819,-97.637641
TX,48037,1383804,Bowie County,33.446062,-94.422393
TX,48039,1383805,Brazoria County,29.167817,-95.434647
TX,48041,1383806,Brazos County,30.656713,-96.302394
TX,48043,1383807,Brewster County,29.808997,-103.252458
TX,48045,1383808,Briscoe County,34.525172,-101.205893
TX,48047,1383809,Brooks County,27.034994,-98.215276
TX,48049,1383810,Brown County,31.764103,-98.99847
TX,48051,1383811,Burleson County,30.493487,-96.622091
TX,48053,1383812,Burnet County,30.78963,-98.201187
TX,48055,1383813,Caldwell County,29.832399,-97.628141
TX,48057,1383814,Calhoun County,28.441719,-96.579574
TX,48059,1383815,Callahan County,32.29315,-99.372249
TX,48061,1383816,Cameron County,26.102923,-97.478958
TX,48063,1383817,Camp County,32.974581,-94.979085
TX,48065,1383818,Carson County,35.405496,-101.355356
TX,48067,1383819,Cass County,33.083698,-94.357579
TX,48069,1383820,Castro County,34.533621,-102.258786
TX,48071,1383821,Chambers County,29.696374,-94.669445
TX,48073,1383822,Cherokee County,31.843872,-95.156345
TX,48075,1383823,Childress County,34.529337,-100.208336
TX,48077,1383824,Clay County,33.785904,-98.212917
TX,48079,1383825,Cochran County,33.60844,-102.830449
TX,48081,1383826,Coke County,31.877105,-100.635236
TX,48083,1383827,Coleman County,31.914205,-99.346622
TX,48085,1383828,Collin County,33.194737,-96.579707
TX,48087,1383829,Collingsworth County,34.963358,-100.272135
TX,48089,1383830,Colorado County,29.596296,-96.508935
TX,48091,1383831,Comal County,29.805491,-98.260544
TX,48093,1383832,Comanche County,31.951645,-98.549617
TX,48095,1383833,Concho County,31.318865,-99.863648
TX,48097,1383834,Cooke County,33.639196,-97.210343
TX,48099,1383835,Coryell County,31.391177,-97.798022
TX,48101,1383836,Cottle County,34.091906,-100.276442
TX,48103,1383837,Crane County,31.422796,-102.487774
TX,48105,1383838,Crockett County,30.717532,-101.404211
TX,48107,1383839,Crosby County,33.609144,-101.29871
TX,48109,1383840,Culberson County,31.445908,-104.526945
TX,48111,1383841,Dallam County,36.28637,-102.59402
TX,48113,1383842,Dallas County,32.766987,-96.778424
TX,48115,1383843,Dawson County,32.741934,-101.947322
TX,48117,1383845,Deaf Smith County,34.940766,-102.607564
TX,48119,1383846,Delta County,33.385933,-95.67335
TX,48121,1383847,Denton County,33.205132,-97.12114
TX,48123,1383844,DeWitt County,29.082346,-97.361654
TX,48125,1383848,Dickens County,33.615363,-100.787617
TX,48127,1383849,Dimmit County,28.423587,-99.765871
TX,48129,1383850,Donley County,34.955036,-100.815846
TX,48131,1383851,Duval County,27.681123,-98.497393
TX,48133,1383852,Eastland County,32.324645,-98.83656
TX,48135,1383853,Ector County,31.865301,-102.542507
TX,48137,1383854,Edwards County,29.985877,-100.307373
TX,48139,1383856,Ellis County,32.346878,-96.79694
TX,48141,1383855,El Paso County,31.766403,-106.24139
TX,48143,1383857,Erath County,32.238136,-98.222377
TX,48145,1383858,Falls County,31.25193,-96.934127
TX,48147,1383859,Fannin County,33.591161,-96.104988
TX,48149,1383860,Fayette County,29.877886,-96.921231
TX,48151,1383861,Fisher County,32.740473,-100.40312
TX,48153,1383862,Floyd County,34.07373,-101.303274
TX,48155,1383863,Foard County,33.963306,-99.816828
TX,48157,1383864,Fort Bend County,29.526602,-95.771015
TX,48159,1383865,Franklin County,33.175846,-95.219066
TX,48161,1383866,Freestone County,31.70126,-96.144487
TX,48163,1383867,Frio County,28.869334,-99.108788
TX,48165,1383868,Gaines County,32.743942,-102.631561
TX,48167,1383869,Galveston County,29.228366,-94.895426
TX,48169,1383870,Garza County,33.183792,-101.301134
TX,48171,1383871,Gillespie County,30.325088,-98.941851
TX,48173,1383872,Glasscock County,31.868006,-101.521494
TX,48175,1383873,Goliad County,28.6607,-97.430415
TX,48177,1383874,Gonzales County,29.461917,-97.491861
TX,48179,1383875,Gray County,35.402542,-100.812374
TX,48181,1383876,Grayson County,33.624524,-96.675693
TX,48183,1383877,Gregg County,32.486397,-94.816276
TX,48185,1383878,Grimes County,30.543231,-95.988082
TX,48187,1383879,Guadalupe County,29.583532,-97.946771
TX,48189,1383880,Hale County,34.068436,-101.822888
TX,48191,1383881,Hall County,34.453189,-100.576343
TX,48193,1383882,Hamilton County,31.707342,-98.111756
TX,48195,1383883,Hansford County,36.272847,-101.35693
TX,48197,1383884,Hardeman County,34.289904,-99.745697
TX,48199,1383885,Hardin County,30.329648,-94.393178
TX,48201,1383886,Harris County,29.857273,-95.393037
TX,48203,1383887,Harrison County,32.547991,-94.374434
TX,48205,1383888,Hartley County,35.840244,-102.610047
TX,48207,1383889,Haskell County,33.175965,-99.730773
TX,48209,1383890,Hays County,30.061225,-98.029267
TX,48211,1383891,Hemphill County,35.815956,-100.27921
TX,48213,1383892,Henderson County,32.211633,-95.853418
TX,48215,1383893,Hidalgo County,26.396384,-98.18099
TX,48217,1383894,Hill County,31.982681,-97.130668
TX,48219,1383895,Hockley County,33.605932,-102.343398
TX,48221,1383896,Hood County,32.430149,-97.831677
TX,48223,1383897,Hopkins County,33.148959,-95.565194
TX,48225,1383898,Houston County,31.323036,-95.4216
TX,48227,1383899,Howard County,32.303471,-101.438772
TX,48229,1383900,Hudspeth County,31.450868,-105.377549
TX,48231,1383901,Hunt County,33.123292,-96.084202
TX,48233,1383902,Hutchinson County,35.837047,-101.362746
TX,48235,1383903,Irion County,31.303424,-100.981304
TX,48237,1383904,Jack County,33.232093,-98.171609
TX,48239,1383905,Jackson County,28.959802,-96.58908
TX,48241,1383906,Jasper County,30.752932,-94.022294
TX,48243,1383907,Jeff Davis County,30.621957,-104.191304
TX,48245,1383908,Jefferson County,29.854,-94.149331
TX,48247,1383909,Jim Hogg County,27.041212,-98.700127
TX,48249,1383910,Jim Wells County,27.733516,-98.090814
TX,48251,1383911,Johnson County,32.379821,-97.364959
TX,48253,1383912,Jones County,32.743709,-99.87443
TX,48255,1383913,Karnes County,28.908996,-97.852205
TX,48257,1383914,Kaufman County,32.598944,-96.288378
TX,48259,1383915,Kendall County,29.943525,-98.709269
TX,48261,1383916,Kenedy County,26.890213,-97.591143
TX,48263,1383917,Kent County,33.18478,-100.76972
TX,48265,1383918,Kerr County,30.059953,-99.353339
TX,48267,1383919,Kimble County,30.479472,-99.746396
TX,48269,1383920,King County,33.614268,-100.245345
TX,48271,1383921,Kinney County,29.347086,-100.4177
TX,48273,1383922,Kleberg County,27.438735,-97.66062
TX,48275,1383923,Knox County,33.616657,-99.747112
TX,48277,1383925,Lamar County,33.667263,-95.570348
TX,48279,1383926,Lamb County,34.068861,-102.348018
TX,48281,1383927,Lampasas County,31.196731,-98.240889
TX,48283,1383924,La Salle County,28.351098,-99.096774
TX,48285,1383928,Lavaca County,29.382578,-96.923633
TX,48287,1383929,Lee County,30.321078,-96.976321
TX,48289,1383930,Leon County,31.300493,-95.995622
TX,48291,1383931,Liberty County,30.158451,-94.844078
TX,48293,1383932,Limestone County,31.547543,-96.593623
TX,48295,1383933,Lipscomb County,36.2802,-100.272683
TX,48297,1383934,Live Oak County,28.351535,-98.126961
TX,48299,1383935,Llano County,30.707584,-98.68469
TX,48301,1383936,Loving County,31.844936,-103.561229
TX,48303,1383937,Lubbock County,33.611469,-101.819944
TX,48305,1383938,Lynn County,33.178412,-101.818493
TX,48307,1383945,McCulloch County,31.205477,-99.359856
TX,48309,1383946,McLennan County,31.549493,-97.201472
TX,48311,1383947,McMullen County,28.384922,-98.578853
TX,48313,1383939,Madison County,30.966878,-95.930372
TX,48315,1383940,Marion County,32.798182,-94.356853
TX,48317,1383941,Martin County,32.30983,-101.961836
TX,48319,1383942,Mason County,30.703229,-99.237613
TX,48321,1383943,Matagorda County,28.77476,-96.001532
TX,48323,1383944,Maverick County,28.729787,-100.316678
TX,48325,1383948,Medina County,29.353661,-99.111085
TX,48327,1383949,Menard County,30.884392,-99.853962
TX,48329,1383950,Midland County,31.870896,-102.024326
TX,48331,1383951,Milam County,30.791242,-96.984395
TX,48333,1383952,Mills County,31.494888,-98.594623
TX,48335,1383953,Mitchell County,32.304117,-100.924392
TX,48337,1383954,Montague County,33.678356,-97.725014
TX,48339,1383955,Montgomery County,30.300611,-95.494719
TX,48341,1383956,Moore County,35.835676,-101.890502
TX,48343,1383957,Morris County,33.116466,-94.731265
TX,48345,1383958,Motley County,34.057899,-100.793152
TX,48347,1383959,Nacogdoches County,31.62056,-94.62025
TX,48349,1383960,Navarro County,32.048448,-96.476909
TX,48351,1383961,Newton County,30.786718,-93.73925
TX,48353,1383962,Nolan County,32.312338,-100.418108
TX,48355,1383963,Nueces County,27.738737,-97.51866
TX,48357,1383964,Ochiltree County,36.278744,-100.815864
TX,48359,1383965,Oldham County,35.401921,-102.59762
TX,48361,1383966,Orange County,30.122323,-93.8941
TX,48363,1383967,Palo Pinto County,32.752204,-98.317967
TX,48365,1383968,Panola County,32.163978,-94.305156
TX,48367,1383969,Parker County,32.777096,-97.805905
TX,48369,1383970,Parmer County,34.532163,-102.784853
TX,48371,1383971,Pecos County,30.770894,-102.71986
TX,48373,1383972,Polk County,30.784553,-94.837338
TX,48375,1383973,Potter County,35.398675,-101.893804
TX,48377,1383974,Presidio County,30.005891,-104.261619
TX,48379,1383975,Rains County,32.87058,-95.79544
TX,48381,1383976,Randall County,34.962529,-101.895547
TX,48383,1383977,Reagan County,31.375191,-101.514395
TX,48385,1383978,Real County,29.830097,-99.812549
TX,48387,1383979,Red River County,33.619625,-95.048429
TX,48389,1383980,Reeves County,31.308366,-103.712706
TX,48391,1383981,Refugio County,28.312716,-97.161366
TX,48393,1383982,Roberts County,35.836216,-100.807555
TX,48395,1383983,Robertson County,31.025481,-96.514941
TX,48397,1383984,Rockwall County,32.898677,-96.404402
TX,48399,1383985,Runnels County,31.845112,-99.982715
TX,48401,1383986,Rusk County,32.109423,-94.756382
TX,48403,1383987,Sabine County,31.3433,-93.851913
TX,48405,1383988,San Augustine County,31.382449,-94.16318
TX,48407,1383989,San Jacinto County,30.574388,-95.163136
TX,48409,1383990,San Patricio County,28.011794,-97.517157
TX,48411,1383991,San Saba County,31.155138,-98.819292
TX,48413,1383992,Schleicher County,30.896233,-100.527216
TX,48415,1383993,Scurry County,32.744353,-100.913346
TX,48417,1383994,Shackelford County,32.74382,-99.347005
TX,48419,1383995,Shelby County,31.790139,-94.142579
TX,48421,1383996,Sherman County,36.278593,-101.899265
TX,48423,1383997,Smith County,32.375106,-95.268743
TX,48425,1383998,Somervell County,32.218071,-97.769217
TX,48427,1383999,Starr County,26.530903,-98.740235
TX,48429,1384000,Stephens County,32.736306,-98.836119
TX,48431,1384001,Sterling County,31.835773,-101.054911
TX,48433,1384002,Stonewall County,33.17958,-100.253807
TX,48435,1384003,Sutton County,30.51768,-100.50527
TX,48437,1384004,Swisher County,34.526319,-101.743862
TX,48439,1384005,Tarrant County,32.772119,-97.291224
TX,48441,1384006,Taylor County,32.297327,-99.890179
TX,48443,1384007,Terrell County,30.232343,-102.072513
TX,48445,1384008,Terry County,33.171229,-102.339284
TX,48447,1384009,Throckmorton County,33.170695,-99.205796
TX,48449,1384010,Titus County,33.214599,-94.966783
TX,48451,1384011,Tom Green County,31.398823,-100.463788
TX,48453,1384012,Travis County,30.239513,-97.69127
TX,48455,1384013,Trinity County,31.096675,-95.151687
TX,48457,1384014,Tyler County,30.769295,-94.375656
TX,48459,1384015,Upshur County,32.735349,-94.941184
TX,48461,1384016,Upton County,31.353816,-102.041546
TX,48463,1384017,Uvalde County,29.350308,-99.768427
TX,48465,1384018,Val Verde County,29.875285,-101.143324
TX,48467,1384019,Van Zandt County,32.558787,-95.836906
TX,48469,1384020,Victoria County,28.79637,-96.971198
TX,48471,1384021,Walker County,30.743163,-95.569825
TX,48473,1384022,Waller County,30.013578,-95.982102
TX,48475,1384023,Ward County,31.513069,-103.105113
TX,48477,1384024,Washington County,30.215075,-96.410272
TX,48479,1384025,Webb County,27.760799,-99.340752
TX,48481,1384026,Wharton County,29.27848,-96.229674
TX,48483,1384027,Wheeler County,35.392593,-100.253107
TX,48485,1384028,Wichita County,33.991103,-98.716851
TX,48487,1384029,Wilbarger County,34.08492,-99.24244
TX,48489,1384030,Willacy County,26.480381,-97.583256
TX,48491,1384031,Williamson County,30.64903,-97.605069
TX,48493,1384032,Wilson County,29.173883,-98.086734
TX,48495,1384033,Winkler County,31.831415,-103.055986
TX,48497,1384034,Wise County,33.219095,-97.653997
TX,48499,1384035,Wood County,32.783588,-95.382166
TX,48501,1384036,Yoakum County,33.162398,-102.832242
TX,48503,1384037,Young County,33.158788,-98.678281
TX,48505,1384038,Zapata County,26.996981,-99.182603
TX,48507,1384039,Zavala County,28.864652,-99.75983