,Date,Site ID,County,value
0,2020-01-01,Clinton,Harris,0.14451831249795288
1,2020-01-01,Dallas Hinton,Dallas,0.2208020915803618
2,2020-01-01,Houston Deer Park #2,Harris,0.13080949461914043
3,2020-01-01,Laredo Vidaurri,Webb,-0.22145854488915
4,2020-01-01,Ojo De Agua,El Paso,0.12007621877299149
5,2020-01-01,Waco Mazanec,McLennan,0.020637346415391222
6,2020-01-02,Clinton,Harris,-0.17359419022002964
7,2020-01-02,Dallas Hinton,Dallas,-0.08622213107673765
8,2020-01-02,El Paso Chamizal,El Paso,-0.137417448935633
9,2020-01-02,Houston Deer Park #2,Harris,-0.07000972695076635
10,2020-01-02,Laredo Vidaurri,Webb,-0.002497422906110769
11,2020-01-02,Ojo De Agua,El Paso,0.10679459233246094
12,2020-01-02,Waco Mazanec,McLennan,0.006942369246441454
13,2020-01-03,Clinton,Harris,-0.16959419022002958
14,2020-01-03,Dallas Hinton,Dallas,-0.07416733655618979
15,2020-01-03,El Paso Chamizal,El Paso,-0.15700757095921225
16,2020-01-03,Houston Deer Park #2,Harris,-0.13798780914254713
17,2020-01-03,Laredo Vidaurri,Webb,-0.3365302996184397
18,2020-01-03,Ojo De Agua,El Paso,0.08679459233246092
19,2020-01-03,Waco Mazanec,McLennan,-0.0011124252741065155
20,2020-01-04,Clinton,Harris,-0.14951747789126246
21,2020-01-04,Dallas Hinton,Dallas,-0.1421673365561898
22,2020-01-04,El Paso Chamizal,El Paso,0.079391348113099
23,2020-01-04,Houston Deer Park #2,Harris,-0.18597685023843757
24,2020-01-04,Laredo Vidaurri,Webb,-0.6264974229061107
25,2020-01-04,Ojo De Agua,El Paso,0.018849386853008826
26,2020-01-04,Waco Mazanec,McLennan,0.010887574725893412
27,2020-01-05,Clinton,Harris,-0.14951747789126252
28,2020-01-05,Dallas Hinton,Dallas,-0.19818925436440898
29,2020-01-05,El Paso Chamizal,El Paso,0.3877464315689717
30,2020-01-05,Houston Deer Park #2,Harris,-0.14597685023843765
31,2020-01-05,Laredo Vidaurri,Webb,-0.45449742290611084
32,2020-01-05,Ojo De Agua,El Paso,-0.009205407667539023
33,2020-01-05,Waco Mazanec,McLennan,0.006887574725893492
34,2020-01-06,Clinton,Harris,0.01834005635531294
35,2020-01-06,Dallas Hinton,Dallas,-0.05024404888495693
36,2020-01-06,El Paso Chamizal,El Paso,0.7241343917371735
37,2020-01-06,Houston Deer Park #2,Harris,0.05402314976156242
38,2020-01-06,Laredo Vidaurri,Webb,-0.19449742290611088
39,2020-01-06,Ojo De Agua,El Paso,0.010816510140680108
40,2020-01-06,Waco Mazanec,McLennan,0.010887574725893495
41,2020-01-07,Clinton,Harris,0.2783838919717512
42,2020-01-07,Dallas Hinton,Dallas,0.0017778689232623712
43,2020-01-07,El Paso Chamizal,El Paso,-0.5314776480946246
44,2020-01-07,Houston Deer Park #2,Harris,0.2339902730492337
45,2020-01-07,Laredo Vidaurri,Webb,-0.1424974229061109
46,2020-01-07,Ojo De Agua,El Paso,0.21478363342835127
47,2020-01-07,Waco Mazanec,McLennan,0.006865656917674268
48,2020-01-08,Clinton,Harris,0.6503729330676417
49,2020-01-08,Dallas Hinton,Dallas,-0.07022213107673769
50,2020-01-08,El Paso Chamizal,El Paso,-0.31915544135108076
51,2020-01-08,Houston Deer Park #2,Harris,0.7620121908574529
52,2020-01-08,Laredo Vidaurri,Webb,-0.11049742290611092
53,2020-01-08,Ojo De Agua,El Paso,0.30680555123657044
54,2020-01-08,Waco Mazanec,McLennan,-0.013134343082325722
55,2020-01-09,Clinton,Harris,-0.1535941902200296
56,2020-01-09,Dallas Hinton,Dallas,-0.2301673365561898
57,2020-01-09,El Paso Chamizal,El Paso,-0.3908003578952079
58,2020-01-09,Houston Deer Park #2,Harris,-0.10600972695076633
59,2020-01-09,Laredo Vidaurri,Webb,0.05750257709388917
60,2020-01-09,Ojo De Agua,El Paso,-0.06520540766753916
61,2020-01-09,Waco Mazanec,McLennan,0.014887574725893443
62,2020-01-10,Clinton,Harris,-0.17764898474057755
63,2020-01-10,Dallas Hinton,Dallas,-0.20618925436440896
64,2020-01-10,El Paso Chamizal,El Paso,-0.6703466443023485
65,2020-01-10,Houston Deer Park #2,Harris,-0.13797685023843753
66,2020-01-10,Laredo Vidaurri,Webb,-0.04649742290611092
67,2020-01-10,Ojo De Agua,El Paso,-0.10921636657164868
68,2020-01-10,Waco Mazanec,McLennan,0.03888757472589344
69,2020-01-11,Clinton,Harris,-0.2576489847405776
70,2020-01-11,Dallas Hinton,Dallas,-0.13418925436440904
71,2020-01-11,El Paso Chamizal,El Paso,0.3631212660526526
72,2020-01-11,Houston Deer Park #2,Harris,-0.10600972695076641
73,2020-01-11,Laredo Vidaurri,Webb,-0.14649742290611079
74,2020-01-11,Ojo De Agua,El Paso,0.002783633428351251
75,2020-01-11,Waco Mazanec,McLennan,0.0028875747258934326
76,2020-01-12,Clinton,Harris,-0.1355941902200296
77,2020-01-12,Dallas Hinton,Dallas,-0.04624404888495692
78,2020-01-12,El Paso Chamizal,El Paso,0.6252945313267071
79,2020-01-12,Houston Deer Park #2,Harris,-0.13000972695076635
80,2020-01-12,Laredo Vidaurri,Webb,0.12550257709388907
81,2020-01-12,Ojo De Agua,El Paso,0.014805551236570486
82,2020-01-12,Waco Mazanec,McLennan,0.002865656917674292
83,2020-01-13,Clinton,Harris,-0.045594190220029585
84,2020-01-13,Dallas Hinton,Dallas,-0.07018925436440898
85,2020-01-13,El Paso Chamizal,El Paso,0.7236102623541865
86,2020-01-13,Houston Deer Park #2,Harris,-0.058009726950766394
87,2020-01-13,Laredo Vidaurri,Webb,0.20550257709388914
88,2020-01-13,Ojo De Agua,El Paso,0.01480555123657043
89,2020-01-13,Waco Mazanec,McLennan,-0.005112425274106547
90,2020-01-14,Clinton,Harris,-0.21759419022002957
91,2020-01-14,Dallas Hinton,Dallas,-0.19416733655618978
92,2020-01-14,El Paso Chamizal,El Paso,0.4777944865323508
93,2020-01-14,Houston Deer Park #2,Harris,-0.09400972695076634
94,2020-01-14,Laredo Vidaurri,Webb,0.20550257709388908
95,2020-01-14,Ojo De Agua,El Paso,-0.0011834898593199306
96,2020-01-14,Waco Mazanec,McLennan,0.07886565691767425
97,2020-01-15,Clinton,Harris,-0.33762706693235844
98,2020-01-15,Dallas Hinton,Dallas,-0.3061125420356418
99,2020-01-15,El Paso Chamizal,El Paso,0.6120006285187343
100,2020-01-15,Houston Deer Park #2,Harris,-0.25798780914254704
101,2020-01-15,Laredo Vidaurri,Webb,0.1375025770938892
102,2020-01-15,Ojo De Agua,El Paso,0.3628274690447896
103,2020-01-15,Waco Mazanec,McLennan,0.06686565691767427
104,2020-01-16,Clinton,Harris,-0.20164898474057755
105,2020-01-16,Dallas Hinton,Dallas,-0.20214541874797062
106,2020-01-16,El Paso Chamizal,El Paso,0.24222868831333677
107,2020-01-16,Houston Deer Park #2,Harris,-0.14998780914254717
108,2020-01-16,Laredo Vidaurri,Webb,-0.33049742290611084
109,2020-01-16,Ojo De Agua,El Paso,0.19877267452424166
110,2020-01-16,Waco Mazanec,McLennan,0.0948875747258934
111,2020-01-17,Clinton,Harris,-0.1765941902200296
112,2020-01-17,Dallas Hinton,Dallas,-0.17011254203564175
113,2020-01-17,El Paso Chamizal,El Paso,-0.21958708750849887
114,2020-01-17,Houston Deer Park #2,Harris,-0.07798780914254724
115,2020-01-17,Laredo Vidaurri,Webb,-0.45047550509789164
116,2020-01-17,Ojo De Agua,El Paso,-0.009227325475758302
117,2020-01-17,Waco Mazanec,McLennan,0.11888757472589342
118,2020-01-18,Clinton,Harris,-0.10160514912413918
119,2020-01-18,Dallas Hinton,Dallas,-0.2621235009397514
120,2020-01-18,El Paso Chamizal,El Paso,-0.7493590277138962
121,2020-01-18,Houston Deer Park #2,Harris,-0.10998780914254724
122,2020-01-18,Laredo Vidaurri,Webb,-0.31047550509789157
123,2020-01-18,Ojo De Agua,El Paso,-0.029172530955210302
124,2020-01-18,Waco Mazanec,McLennan,0.11888757472589348
125,2020-01-19,Clinton,Harris,-0.058638025836468044
126,2020-01-19,Dallas Hinton,Dallas,-0.01820021326851856
127,2020-01-19,El Paso Chamizal,El Paso,-0.9951857624398416
128,2020-01-19,Houston Deer Park #2,Harris,-0.08595493243021843
129,2020-01-19,Laredo Vidaurri,Webb,-0.3064974229061108
130,2020-01-19,Ojo De Agua,El Paso,0.09082746904478964
131,2020-01-19,Waco Mazanec,McLennan,-0.09311242527410656
132,2020-01-20,Clinton,Harris,-0.03555035460359124
133,2020-01-20,Dallas Hinton,Dallas,0.29788745796435806
134,2020-01-20,El Paso Chamizal,El Paso,-1.629012497165787
135,2020-01-20,Houston Deer Park #2,Harris,-0.05800972695076631
136,2020-01-20,Laredo Vidaurri,Webb,-0.3424974229061108
137,2020-01-20,Ojo De Agua,El Paso,-0.07717253095521032
138,2020-01-20,Waco Mazanec,McLennan,0.01088757472589344
139,2020-01-21,Clinton,Harris,0.058372933067641686
140,2020-01-21,Dallas Hinton,Dallas,0.46188745796435815
141,2020-01-21,El Paso Chamizal,El Paso,-0.9267515606588556
142,2020-01-21,Houston Deer Park #2,Harris,0.026045067569781588
143,2020-01-21,Laredo Vidaurri,Webb,-0.13449742290611078
144,2020-01-21,Ojo De Agua,El Paso,0.05082746904478963
145,2020-01-21,Waco Mazanec,McLennan,0.030887574725893485
146,2020-01-22,Clinton,Harris,-0.14965994364468715
147,2020-01-22,Dallas Hinton,Dallas,0.053854581252029354
148,2020-01-22,El Paso Chamizal,El Paso,-0.6096692044757099
149,2020-01-22,Houston Deer Park #2,Harris,-0.0779549324302184
150,2020-01-22,Laredo Vidaurri,Webb,0.5895025770938893
151,2020-01-22,Ojo De Agua,El Paso,0.03482746904478953
152,2020-01-22,Waco Mazanec,McLennan,0.03888757472589338
153,2020-01-23,Clinton,Harris,-0.07362706693235843
154,2020-01-23,Dallas Hinton,Dallas,0.017854581252029544
155,2020-01-23,El Paso Chamizal,El Paso,0.018696837884272677
156,2020-01-23,Houston Deer Park #2,Harris,-0.10600972695076627
157,2020-01-23,Laredo Vidaurri,Webb,0.5574697003815605
158,2020-01-23,Ojo De Agua,El Paso,-0.0651177364346624
159,2020-01-23,Waco Mazanec,McLennan,0.13888757472589344
160,2020-01-24,Clinton,Harris,0.17435101525942243
161,2020-01-24,Dallas Hinton,Dallas,0.1018326634438102
162,2020-01-24,El Paso Chamizal,El Paso,0.6430847980524742
163,2020-01-24,Houston Deer Park #2,Harris,0.05804506756978156
164,2020-01-24,Laredo Vidaurri,Webb,-0.046519340714330004
165,2020-01-24,Ojo De Agua,El Paso,0.1388055512365705
166,2020-01-24,Waco Mazanec,McLennan,0.12088757472589337
167,2020-01-25,Clinton,Harris,0.05035101525942248
168,2020-01-25,Dallas Hinton,Dallas,0.10183266344381015
169,2020-01-25,El Paso Chamizal,El Paso,0.6610727582206759
170,2020-01-25,Houston Deer Park #2,Harris,0.0020231497615624816
171,2020-01-25,Laredo Vidaurri,Webb,-0.2064974229061108
172,2020-01-25,Ojo De Agua,El Paso,-0.03319444876342964
173,2020-01-25,Waco Mazanec,McLennan,0.014909492534112667
174,2020-01-26,Clinton,Harris,-0.14951747789126243
175,2020-01-26,Dallas Hinton,Dallas,-0.08218925436440899
176,2020-01-26,El Paso Chamizal,El Paso,-0.4464735281864649
177,2020-01-26,Houston Deer Park #2,Harris,-0.1459549324302184
178,2020-01-26,Laredo Vidaurri,Webb,0.3535025770938891
179,2020-01-26,Ojo De Agua,El Paso,-0.0411396542428816
180,2020-01-26,Waco Mazanec,McLennan,0.006887574725893464
181,2020-01-27,Clinton,Harris,-0.18555035460359126
182,2020-01-27,Dallas Hinton,Dallas,-0.07814541874797065
183,2020-01-27,El Paso Chamizal,El Paso,-0.7140965269223729
184,2020-01-27,Houston Deer Park #2,Harris,-0.13798780914254719
185,2020-01-27,Laredo Vidaurri,Webb,0.46550257709388926
186,2020-01-27,Ojo De Agua,El Paso,-0.1170629419141144
187,2020-01-27,Waco Mazanec,McLennan,-0.03705763075355864
188,2020-01-28,Clinton,Harris,-0.16757227241181033
189,2020-01-28,Dallas Hinton,Dallas,-0.31023308998084725
190,2020-01-28,El Paso Chamizal,El Paso,-0.5377304845623903
191,2020-01-28,Houston Deer Park #2,Harris,-0.06996589133432801
192,2020-01-28,Laredo Vidaurri,Webb,-0.3904755050978917
193,2020-01-28,Ojo De Agua,El Paso,-0.1371396542428816
194,2020-01-28,Waco Mazanec,McLennan,-0.025112425274106537
195,2020-01-29,Clinton,Harris,-0.12160514912413922
196,2020-01-29,Dallas Hinton,Dallas,-0.16222213107673772
197,2020-01-29,El Paso Chamizal,El Paso,-0.3093425243941889
198,2020-01-29,Houston Deer Park #2,Harris,-0.033933014621999213
199,2020-01-29,Laredo Vidaurri,Webb,0.013579289422656293
200,2020-01-29,Ojo De Agua,El Paso,-0.025139654242881587
201,2020-01-29,Waco Mazanec,McLennan,-0.06514530198643528
202,2020-01-30,Clinton,Harris,-0.13768186145290628
203,2020-01-30,Dallas Hinton,Dallas,-0.022222131076737817
204,2020-01-30,El Paso Chamizal,El Paso,-0.5945545642259872
205,2020-01-30,Houston Deer Park #2,Harris,-0.07398780914254721
206,2020-01-30,Laredo Vidaurri,Webb,0.021524494902108393
207,2020-01-30,Ojo De Agua,El Paso,-0.04913965424288158
208,2020-01-30,Waco Mazanec,McLennan,0.04688757472589347
209,2020-01-31,Clinton,Harris,0.22230717964298408
210,2020-01-31,Dallas Hinton,Dallas,0.0017778689232623712
211,2020-01-31,El Paso Chamizal,El Paso,-0.39416660405778553
212,2020-01-31,Houston Deer Park #2,Harris,0.03797931414512401
213,2020-01-31,Laredo Vidaurri,Webb,-0.01047550509789158
214,2020-01-31,Ojo De Agua,El Paso,-0.06911773643466237
215,2020-01-31,Waco Mazanec,McLennan,0.02688757472589351
216,2020-02-01,Clinton,Harris,0.6063729330676416
217,2020-02-01,Dallas Hinton,Dallas,0.30579978673148156
218,2020-02-01,El Paso Chamizal,El Paso,-0.5097786438895842
219,2020-02-01,Houston Deer Park #2,Harris,0.4300121908574528
220,2020-02-01,Laredo Vidaurri,Webb,1.0775244949021083
221,2020-02-01,Ojo De Agua,El Paso,-0.0011944487634295287
222,2020-02-01,Waco Mazanec,McLennan,0.11885469801356463
223,2020-02-02,Clinton,Harris,0.0664277275881896
224,2020-02-02,Dallas Hinton,Dallas,0.3338143986036276
225,2020-02-02,El Paso Chamizal,El Paso,-0.3254893138583685
226,2020-02-02,Houston Deer Park #2,Harris,0.16604506756978166
227,2020-02-02,Laredo Vidaurri,Webb,1.0015244949021085
228,2020-02-02,Ojo De Agua,El Paso,0.19088226356533766
229,2020-02-02,Waco Mazanec,McLennan,0.018832780205345567
230,2020-02-03,Clinton,Harris,-0.14957227241181043
231,2020-02-03,Dallas Hinton,Dallas,0.033796133763444924
232,2020-02-03,El Paso Chamizal,El Paso,-0.08116710711482433
233,2020-02-03,Houston Deer Park #2,Harris,-0.009976850238437529
234,2020-02-03,Laredo Vidaurri,Webb,-0.11055221742665877
235,2020-02-03,Ojo De Agua,El Paso,-0.029194448763429498
236,2020-02-03,Waco Mazanec,McLennan,0.018865656917674306
237,2020-02-04,Clinton,Harris,-0.1495941902200296
238,2020-02-04,Dallas Hinton,Dallas,0.02981074563559105
239,2020-02-04,El Paso Chamizal,El Paso,-0.6846476400973078
240,2020-02-04,Houston Deer Park #2,Harris,-0.04593301462199925
241,2020-02-04,Laredo Vidaurri,Webb,0.24150257709388934
242,2020-02-04,Ojo De Agua,El Paso,-0.12117253095521033
243,2020-02-04,Waco Mazanec,McLennan,0.030865656917674317
244,2020-02-05,Clinton,Harris,-0.11364898474057755
245,2020-02-05,Dallas Hinton,Dallas,-0.018167336556189795
246,2020-02-05,El Paso Chamizal,El Paso,-0.7602268032167774
247,2020-02-05,Houston Deer Park #2,Harris,-0.02200972695076639
248,2020-02-05,Laredo Vidaurri,Webb,0.009502577093889242
249,2020-02-05,Ojo De Agua,El Paso,-0.1211396542428815
250,2020-02-05,Waco Mazanec,McLennan,0.014887574725893499
251,2020-02-06,Clinton,Harris,-0.06159419022002971
252,2020-02-06,Dallas Hinton,Dallas,0.14849933011047683
253,2020-02-06,El Paso Chamizal,El Paso,-0.8078388430485758
254,2020-02-06,Houston Deer Park #2,Harris,0.08601219085745282
255,2020-02-06,Laredo Vidaurri,Webb,-0.2544974229061109
256,2020-02-06,Ojo De Agua,El Paso,-0.07319444876342951
257,2020-02-06,Waco Mazanec,McLennan,-0.013112425274106554
258,2020-02-07,Clinton,Harris,0.07440580977997041
259,2020-02-07,Dallas Hinton,Dallas,0.2071440789689244
260,2020-02-07,El Paso Chamizal,El Paso,-0.4154180061680455
261,2020-02-07,Houston Deer Park #2,Harris,0.19406698537800077
262,2020-02-07,Laredo Vidaurri,Webb,0.0533929880527933
263,2020-02-07,Ojo De Agua,El Paso,-0.0411396542428816
264,2020-02-07,Waco Mazanec,McLennan,0.0028875747258934603
265,2020-02-08,Clinton,Harris,0.07037293306764164
266,2020-02-08,Dallas Hinton,Dallas,0.31779978673148157
267,2020-02-08,El Paso Chamizal,El Paso,-0.10706292271217233
268,2020-02-08,Houston Deer Park #2,Harris,0.17403410866567204
269,2020-02-08,Laredo Vidaurri,Webb,-0.13060701194720675
270,2020-02-08,Ojo De Agua,El Paso,-0.13717253095521026
271,2020-02-08,Waco Mazanec,McLennan,0.018887574725893447
272,2020-02-09,Clinton,Harris,-0.21757227241181037
273,2020-02-09,Dallas Hinton,Dallas,-0.1142330899808473
274,2020-02-09,El Paso Chamizal,El Paso,-0.2346749625439709
275,2020-02-09,Houston Deer Park #2,Harris,-0.06193301462199921
276,2020-02-09,Laredo Vidaurri,Webb,-0.38255221742665874
277,2020-02-09,Ojo De Agua,El Paso,-0.17119444876342949
278,2020-02-09,Waco Mazanec,McLennan,0.054854698013564684
279,2020-02-10,Clinton,Harris,-0.16565994364468717
280,2020-02-10,Dallas Hinton,Dallas,-0.14620021326851856
281,2020-02-10,El Paso Chamizal,El Paso,-0.25431895036741065
282,2020-02-10,Houston Deer Park #2,Harris,-0.08198780914254727
283,2020-02-10,Laredo Vidaurri,Webb,-0.2205522174266588
284,2020-02-10,Ojo De Agua,El Paso,-0.12113965424288152
285,2020-02-10,Waco Mazanec,McLennan,0.04285469801356473
286,2020-02-11,Clinton,Harris,-0.1336818614529063
287,2020-02-11,Dallas Hinton,Dallas,-0.16481208541463727
288,2020-02-11,El Paso Chamizal,El Paso,-0.6139848559990697
289,2020-02-11,Houston Deer Park #2,Harris,0.0099573963369049
290,2020-02-11,Laredo Vidaurri,Webb,-0.2105522174266587
291,2020-02-11,Ojo De Agua,El Paso,-0.07717253095521032
292,2020-02-11,Waco Mazanec,McLennan,-0.005090507465887378
293,2020-02-12,Clinton,Harris,-0.0136599436446872
294,2020-02-12,Dallas Hinton,Dallas,-0.05555546441007106
295,2020-02-12,El Paso Chamizal,El Paso,0.2677921607437004
296,2020-02-12,Houston Deer Park #2,Harris,0.03401219085745277
297,2020-02-12,Laredo Vidaurri,Webb,0.057447782573341266
298,2020-02-12,Ojo De Agua,El Paso,-0.10922732547575828
299,2020-02-12,Waco Mazanec,McLennan,-0.1210905074658874
300,2020-02-13,Clinton,Harris,-0.0136599436446872
301,2020-02-13,Dallas Hinton,Dallas,-0.09022213107673771
302,2020-02-13,El Paso Chamizal,El Paso,0.38951438296592256
303,2020-02-13,Houston Deer Park #2,Harris,-0.037987809142547124
304,2020-02-13,Laredo Vidaurri,Webb,0.23755737161443702
305,2020-02-13,Ojo De Agua,El Paso,0.07082746904478965
306,2020-02-13,Waco Mazanec,McLennan,-0.021090507465887365
307,2020-02-14,Clinton,Harris,-0.029681861452906355
308,2020-02-14,Dallas Hinton,Dallas,0.03779978673148149
309,2020-02-14,El Paso Chamizal,El Paso,-0.26062092905843043
310,2020-02-14,Houston Deer Park #2,Harris,0.08201219085745282
311,2020-02-14,Laredo Vidaurri,Webb,-0.1984426283855628
312,2020-02-14,Ojo De Agua,El Paso,0.1908603457571184
313,2020-02-14,Waco Mazanec,McLennan,-0.12114530198643529
314,2020-02-15,Clinton,Harris,0.04631813854709371
315,2020-02-15,Dallas Hinton,Dallas,0.0418326634438102
316,2020-02-15,El Paso Chamizal,El Paso,0.20364741188525293
317,2020-02-15,Houston Deer Park #2,Harris,0.08993547852868572
318,2020-02-15,Laredo Vidaurri,Webb,0.10939298805279335
319,2020-02-15,Ojo De Agua,El Paso,0.03486034575711841
320,2020-02-15,Waco Mazanec,McLennan,-0.00916721979465443
321,2020-02-16,Clinton,Harris,-0.21757227241181043
